project,harness,n0,n1,mean0,mean1,var0,var1,t_score,abs_t_score,status,batch_t_mean,batch_t_max_abs,batches,cropped_at,t_score_uncropped,abs_t_score_uncropped,raw_n_total,dropped_zero_n0,dropped_zero_n1,cohens_d
toy_dudect,leaky,24818,25182,29.616,8701.209,6542.096,76616108.469,-157.205,157.205,FAIL,-49.708,50.735,10,1.000,-157.205,157.205,50000,0,0,1.396
toy_dudect,safe,24818,25182,21869.266,21875.422,220116.219,276778.866,-1.381,1.381,PASS,-0.469,1.939,10,1.000,-1.381,1.381,50000,0,0,0.012
pqclean_mlkem768,kem_dec,19172,18342,145833.888,146766.726,696773.578,89239.067,-145.316,145.316,FAIL,-16.888,23.886,10,0.750,-22.180,22.180,50000,0,0,1.475
pqclean_mlkem768,kem_dec_ct,18699,18809,142707.368,142703.853,21663.818,21967.595,2.304,2.304,PASS,0.205,1.755,10,0.750,1.262,1.262,50000,0,0,-0.024
pqclean_mlkem768,kem_dec_fo,18790,18723,143192.221,143186.152,77918.651,78302.100,2.103,2.103,PASS,-0.213,1.739,10,0.750,-0.673,0.673,50000,0,0,-0.022
pqclean_mldsa44,sign,25014,24986,1685940.220,1697304.749,1191492048488.480,1237672392165.393,-1.153,1.153,PASS,-0.349,2.599,10,1.000,-1.153,1.153,50000,0,0,0.010
pqclean_mldsa65,sign,18697,18804,1879491.416,1891130.021,460507434300.880,460640426910.403,-1.661,1.661,PASS,0.350,2.167,10,0.750,1.084,1.084,50000,0,0,0.017
pqclean_mldsa87,sign,18806,18695,2505304.909,2492258.299,523639950965.178,520421348555.655,1.748,1.748,PASS,-0.078,2.163,10,0.750,-0.218,0.218,50000,0,0,-0.018
pqclean_falcon512,sign,9898,9903,17584805.978,17585757.126,1751031904.458,1794086659.419,-1.590,1.590,PASS,-0.187,1.372,10,0.990,-0.789,0.789,20000,0,0,0.023
pqclean_sphincs_sha2_128f_simple,sign,1503,1468,129210311.083,129223707.218,43913608409.425,70719702001.111,-1.523,1.523,PASS,-0.262,1.614,10,0.990,-0.628,0.628,3000,0,0,0.056
